             SNP &       times sig. \\
          545226 &               06 \\
          573687 &               19 \\
          646776 &               20 \\
          944797 &               20 \\
         1063192 &               29 \\
         1144593 &               01 \\
         1332844 &               07 \\
         1333040 &               19 \\
         1333050 &               07 \\
         1412829 &               29 \\
         1412832 &               21 \\
         1537375 &               20 \\
         2151280 &               29 \\
         2157719 &               29 \\
         2327620 &               07 \\
         2383207 &               21 \\
         2876303 &               07 \\
         3217992 &               37 \\
         3218020 &               07 \\
         4293393 &               01 \\
         4371638 &               02 \\
         4714990 &               07 \\
         4970729 &               08 \\
         4970760 &               04 \\
         4977574 &               19 \\
         4977756 &               28 \\
         6922782 &               07 \\
         7041637 &               21 \\
         7049105 &               30 \\
         7750679 &               07 \\
         9349379 &               07 \\
        10116277 &               20 \\
        10120688 &               29 \\
        10494040 &               12 \\
        12073497 &               01 \\
        13298881 &               05 \\
        13333226 &               02 \\

Results of robustness analysis while using piecewise linear shrinkers
Total Number of Parameter settings tested: 66
The results displayed show the number of time each particular SNP was declared significant.
