             SNP &       times sig. \\
          545226 &               84 \\
          573687 &               99 \\
          646776 &              100 \\
          944797 &              100 \\
         1063192 &              100 \\
         1332844 &               60 \\
         1333040 &              100 \\
         1333050 &               80 \\
         1412829 &              100 \\
         1412832 &              100 \\
         1537375 &              100 \\
         2151280 &              100 \\
         2157719 &              100 \\
         2327620 &               70 \\
         2383207 &              100 \\
         2876303 &               76 \\
         3217992 &              100 \\
         3218020 &               89 \\
         4714990 &               77 \\
         4977574 &              100 \\
         4977756 &              100 \\
         6922782 &               70 \\
         7041637 &              100 \\
         7049105 &              100 \\
         7750679 &               60 \\
         9349379 &               86 \\
        10116277 &              100 \\
        10120688 &              100 \\
        13298881 &               50 \\

Results of robustness analysis while changing alpha and PFER
Total Number of Attempts: 100
The results displayed show the number of time each particular SNP was declared significant.
