             SNP &       times sig. \\
          545226 &              100 \\
          573687 &              100 \\
          611917 &               30 \\
          646776 &              100 \\
          944797 &              100 \\
         1051338 &               02 \\
         1063192 &              100 \\
         1332844 &              100 \\
         1333040 &              100 \\
         1333050 &              100 \\
         1412444 &               35 \\
         1412829 &              100 \\
         1412832 &              100 \\
         1537340 &               82 \\
         1537375 &              100 \\
         2151280 &              100 \\
         2157719 &              100 \\
         2246833 &               11 \\
         2327620 &              100 \\
         2383207 &              100 \\
         2505083 &               35 \\
         2876303 &              100 \\
         3217992 &              100 \\
         3218020 &              100 \\
         3731239 &               03 \\
         4714990 &              100 \\
         4970834 &               70 \\
         4977574 &              100 \\
         4977756 &              100 \\
         6504218 &               20 \\
         6922782 &              100 \\
         7041637 &              100 \\
         7049105 &              100 \\
         7750679 &              100 \\
         8180628 &               23 \\
         9349379 &              100 \\
         9381462 &               97 \\
         9472752 &               07 \\
         9473086 &               31 \\
         9970807 &               22 \\
        10116277 &              100 \\
        10120688 &              100 \\
        10807323 &               31 \\
        12411886 &               01 \\
        12570314 &               28 \\
        13298881 &              100 \\
        17114046 &               20 \\

Results of robustness analysis while changing alpha and PFER
Total Number of Attempts: 100
The results displayed show the number of time each particular SNP was declared significant.
