Results of P-value Weighting Analysis

Prior Study: Lipids-TG-ONE.Teslovich.Nature.2010
Current Study: PGC-SCZ-2012.Nat.Genet.2012

Number of overlapping SNPs: 1162309
Number of overlapping SNPs not found in UCSC database: 3481

Weighted Bonferroni Methods Tested: 
Unweighted; Spjotvoll; Bayes; sigma = 0.100000: ; Bayes; sigma = 1.000000: ; Bayes; sigma = 10.000000: ; Exponential; beta = 1.000000: ; Exponential; beta = 2.000000: ; Exponential; beta = 4.000000: ; Select top; P_thresh = 1.000000e-02: ; Select top; P_thresh = 1.000000e-04: ; Select top; P_thresh = 1.000000e-06: ; Monotone; min = 0.010000. max =10.000000; Monotone; min = 0.010000. max =Inf; Monotone; min = 0.100000. max =10.000000; Monotone; min = 0.100000. max =Inf; Monotone; min = 0.500000. max =10.000000; Monotone; min = 0.500000. max =Inf; 
Family-wise Error Rate controlled at: 5.000000e-02

Number of Significant SNPs: 
Unweighted: 116
Spjotvoll: 214
Bayes; sigma = 0.100000: : 214
Bayes; sigma = 1.000000: : 223
Bayes; sigma = 10.000000: : 123
Exponential; beta = 1.000000: : 92
Exponential; beta = 2.000000: : 0
Exponential; beta = 4.000000: : 0
Select top; P_thresh = 1.000000e-02: : 217
Select top; P_thresh = 1.000000e-04: : 96
Select top; P_thresh = 1.000000e-06: : 39
Monotone; min = 0.010000. max =10.000000: 209
Monotone; min = 0.010000. max =Inf: 209
Monotone; min = 0.100000. max =10.000000: 217
Monotone; min = 0.100000. max =Inf: 217
Monotone; min = 0.500000. max =10.000000: 209
Monotone; min = 0.500000. max =Inf: 209

Parameter settings:
q = 5.000000e-02
pcer = 8.603564e-07
sigma = 1.000000e-01
sigma = 1.000000e+00
sigma = 1.000000e+01
beta= 1.000000e+00
beta= 2.000000e+00
beta= 4.000000e+00
P_thresh= 1.000000e-02
P_thresh= 1.000000e-04
P_thresh= 1.000000e-06
lower_bounds= 1.000000e-02
lower_bounds= 1.000000e-01
lower_bounds= 5.000000e-01
upper_bounds= 1.000000e+01
upper_bounds= Inf

Significant SNPs: 
Unweighted: 116 SNPs
rsID	chr	position	current_Pvalue
rs3857546	6	26157761	1.458100e-09
rs7749823	6	26158078	6.008170e-09
rs3800316	6	27256101	1.572240e-08
rs7746199	6	27261323	3.497980e-10
rs16897515	6	27278019	7.344510e-09
rs10484399	6	27534527	5.803530e-09
rs17749927	6	27669975	1.009230e-09
rs17750424	6	27701121	1.490770e-09
rs17693963	6	27710164	1.562280e-10
rs13194781	6	27815638	5.450110e-10
rs13199772	6	27834084	7.053790e-10
rs13197574	6	28060238	4.128630e-09
rs4713140	6	28097192	4.300880e-08
rs13205911	6	28124113	7.107440e-09
rs735765	6	28170296	2.875510e-08
rs9380069	6	28203299	3.040560e-08
rs17720293	6	28214697	1.794940e-09
rs10456362	6	28221815	5.961300e-09
rs1679709	6	28228341	9.393200e-09
rs1778508	6	28229880	5.034980e-09
rs2799077	6	28234596	5.085130e-09
rs11965538	6	28239914	5.061440e-09
rs1419183	6	28242793	5.008090e-09
rs6901575	6	28250983	1.236040e-09
rs13211507	6	28257376	7.050530e-09
rs1936365	6	28268451	6.597070e-09
rs853685	6	28288784	2.245820e-09
rs853681	6	28296649	6.329480e-09
rs853679	6	28296862	2.110160e-09
rs853676	6	28299686	2.827720e-09
rs13213152	6	28349697	3.663000e-09
rs2232423	6	28366150	1.982640e-09
rs13196606	6	28370077	3.170410e-08
rs1339898	6	28395505	2.707010e-08
rs13194504	6	28630690	4.674110e-09
rs9468413	6	28689671	9.380140e-10
rs6456834	6	28700351	9.118820e-10
rs1233579	6	28712662	2.723800e-08
rs1233604	6	28734675	1.409630e-08
rs7767099	6	28768697	6.973380e-09
rs3131343	6	28775563	9.798440e-09
rs4324798	6	28776116	1.605910e-08
rs3118357	6	28802148	1.008830e-08
rs9257248	6	28803290	1.103170e-08
rs3132389	6	28831020	1.064580e-08
rs3132392	6	28838628	1.143700e-08
rs3135309	6	28855804	1.651020e-08
rs2230683	6	28891175	3.608650e-08
rs3118361	6	28898286	1.874570e-08
rs3130845	6	28923366	2.978870e-08
rs3130837	6	28948091	2.710360e-08
rs3129791	6	28954292	1.852120e-08
rs3130893	6	28980706	1.846360e-08
rs3129788	6	29057638	1.329400e-08
rs3130773	6	29095907	1.352830e-08
rs3116830	6	29167574	1.271640e-08
rs3117337	6	29211555	2.106380e-08
rs3130834	6	29248148	1.017700e-08
rs9257793	6	29335153	4.236560e-08
rs2746149	6	29435354	2.622300e-08
rs1233493	6	29458240	3.327320e-08
rs1235162	6	29537223	3.409710e-08
rs3115631	6	29986323	1.447070e-08
rs8321	6	30032521	8.796510e-09
rs9261290	6	30038646	8.416250e-09
rs1573296	6	30127804	1.636700e-08
rs2523729	6	30137386	1.457730e-08
rs2106072	6	30153362	1.318870e-08
rs2517614	6	30163954	1.204730e-10
rs2523722	6	30165272	1.295010e-10
rs2523721	6	30166265	9.200800e-11
rs2517611	6	30169326	1.336790e-10
rs1117490	6	30170509	4.636130e-11
rs2844776	6	30171826	4.966670e-11
rs971570	6	30172512	5.108410e-11
rs2021722	6	30174130	4.301380e-11
