             SNP &       times sig. \\
            8321 &              100 \\
          175597 &               50 \\
          200483 &               49 \\
          200484 &               39 \\
          200490 &               44 \\
          200501 &               46 \\
          200948 &               50 \\
          200953 &               50 \\
          200956 &               07 \\
          200989 &               53 \\
          200991 &               49 \\
          200995 &               50 \\
          201002 &               49 \\
          201004 &               01 \\
          213230 &               37 \\
          389884 &               51 \\
          404240 &              100 \\
          406511 &               35 \\
          429479 &               40 \\
          442694 &               69 \\
          497309 &               51 \\
          548181 &               80 \\
          615672 &               66 \\
          735765 &               77 \\
          853676 &               80 \\
          853679 &               80 \\
          853681 &               79 \\
          853685 &               80 \\
          885912 &              100 \\
          885916 &               51 \\
          886422 &              100 \\
          886424 &               80 \\
          926552 &               41 \\
          929157 &               60 \\
          971570 &              100 \\
         1049633 &               62 \\
         1059612 &              100 \\
         1064627 &               40 \\
         1117490 &              100 \\
         1150752 &               51 \\
         1150753 &               51 \\
         1233396 &               50 \\
         1233480 &               60 \\
         1233491 &               68 \\
         1233493 &              100 \\
         1233579 &              100 \\
         1233604 &              100 \\
         1235162 &              100 \\
         1260345 &               05 \\
         1264308 &               71 \\
         1264322 &               81 \\
         1264350 &              100 \\
         1264353 &               97 \\
         1264377 &               36 \\
         1270942 &               53 \\
         1339898 &               78 \\
         1416920 &               27 \\
         1419183 &               80 \\
         1480380 &               50 \\
         1535039 &               60 \\
         1573296 &              100 \\
         1634721 &               88 \\
         1679709 &               80 \\
         1778508 &               81 \\
         1936365 &               79 \\
         2021722 &              100 \\
         2106072 &              100 \\
         2187668 &               59 \\
         2230683 &              100 \\
         2232423 &              100 \\
         2272417 &               09 \\
         2328893 &               23 \\
         2517611 &              100 \\
         2517612 &               60 \\
         2517614 &              100 \\
         2517618 &               51 \\
         2523443 &               53 \\
         2523719 &               61 \\
         2523721 &              100 \\
         2523722 &              100 \\
         2523729 &              100 \\
         2523735 &               58 \\
         2523742 &               52 \\
         2596565 &               71 \\
         2734583 &               30 \\
         2746149 &              100 \\
         2746150 &               97 \\
         2799077 &               80 \\
         2844762 &               10 \\
         2844773 &               41 \\
         2844776 &              100 \\
         2857595 &               16 \\
         2894254 &               41 \\
         3094034 &              100 \\
         3094035 &               61 \\
         3094050 &               52 \\
         3094054 &              100 \\
         3094057 &              100 \\
         3094061 &              100 \\
         3094064 &              100 \\
         3094071 &               40 \\
         3094073 &               40 \\
         3094086 &              100 \\
         3094228 &               21 \\
         3094621 &               26 \\
         3094622 &              100 \\
         3094627 &              100 \\
         3094629 &               34 \\
         3094630 &               40 \\
         3094703 &               51 \\
         3095326 &              100 \\
         3095328 &               19 \\
         3095336 &               60 \\
         3095340 &               91 \\
         3099840 &               24 \\
         3099844 &               51 \\
         3101018 &               40 \\
         3115631 &              100 \\
         3115672 &               29 \\
         3116830 &              100 \\
         3117337 &               50 \\
         3117425 &               71 \\
         3117427 &               64 \\
         3117439 &               69 \\
         3117574 &               40 \\
         3117575 &               40 \\
         3117577 &               40 \\
         3117582 &               27 \\
         3118357 &              100 \\
         3118361 &              100 \\
         3118370 &              100 \\
         3129701 &               40 \\
         3129702 &               40 \\
         3129703 &               40 \\
         3129704 &               36 \\
         3129705 &               40 \\
         3129788 &              100 \\
         3129791 &              100 \\
         3129809 &              100 \\
         3129818 &               58 \\
         3129820 &               70 \\
         3129822 &               54 \\
         3129832 &               40 \\
         3129973 &              100 \\
         3129985 &               61 \\
         3130247 &              100 \\
         3130350 &              100 \\
         3130352 &              100 \\
         3130374 &              100 \\
         3130375 &              100 \\
         3130377 &              100 \\
         3130380 &              100 \\
         3130401 &               40 \\
         3130403 &               40 \\
         3130404 &               40 \\
         3130405 &               30 \\
         3130484 &               40 \\
         3130544 &               42 \\
         3130557 &               52 \\
         3130641 &               69 \\
         3130673 &               52 \\
         3130679 &               52 \\
         3130773 &              100 \\
         3130782 &              100 \\
         3130834 &              100 \\
         3130837 &              100 \\
         3130845 &               99 \\
         3130893 &               70 \\
         3131060 &               60 \\
         3131064 &               24 \\
         3131343 &              100 \\
         3131378 &               40 \\
         3131379 &               40 \\
         3131783 &              100 \\
         3131921 &               84 \\
         3131934 &              100 \\
         3132389 &               99 \\
         3132390 &               60 \\
         3132392 &              100 \\
         3132580 &              100 \\
         3132581 &              100 \\
         3132610 &              100 \\
         3132625 &               51 \\
         3132630 &               57 \\
         3132631 &               51 \\
         3132647 &              100 \\
         3132649 &              100 \\
         3132658 &               40 \\
         3132659 &               40 \\
         3134792 &               50 \\
         3134942 &               18 \\
         3135309 &               99 \\
         3749971 &               50 \\
         3800316 &               70 \\
         3857546 &               80 \\
         4324798 &              100 \\
         4713139 &               38 \\
         4713140 &               69 \\
         6456834 &               99 \\
         6901575 &              100 \\
         6904596 &              100 \\
         6908726 &               49 \\
         6912584 &              100 \\
         6921919 &              100 \\
         6922111 &              100 \\
         7004633 &               60 \\
         7005110 &               60 \\
         7746199 &               80 \\
         7749823 &               70 \\
         7750641 &               51 \\
         7762279 &              100 \\
         7766356 &               30 \\
         7767099 &              100 \\
         7774981 &               93 \\
         7775397 &               50 \\
         9257248 &              100 \\
         9257793 &              100 \\
         9257805 &               89 \\
         9257809 &               49 \\
         9261290 &              100 \\
         9262135 &              100 \\
         9262141 &              100 \\
         9262142 &               78 \\
         9262143 &              100 \\
         9266669 &               18 \\
         9267531 &               32 \\
         9268219 &               50 \\
         9268235 &               52 \\
         9268977 &               70 \\
         9272105 &               74 \\
         9272219 &               61 \\
         9276601 &               55 \\
         9276689 &              100 \\
         9295740 &               79 \\
         9380064 &               62 \\
         9380069 &               80 \\
         9393929 &               73 \\
         9468344 &               29 \\
         9468413 &               99 \\
        10456362 &               80 \\
        10484399 &              100 \\
        11191560 &               59 \\
        11191580 &               60 \\
        11965538 &               80 \\
        13194504 &              100 \\
        13194781 &              100 \\
        13195040 &               91 \\
        13196606 &               94 \\
        13197574 &               99 \\
        13198716 &               98 \\
        13199772 &              100 \\
        13205911 &              100 \\
        13211507 &              100 \\
        13213152 &              100 \\
