             SNP &       times sig. \\
          545226 &               66 \\
          573687 &               65 \\
          611917 &               32 \\
          646776 &               60 \\
          653178 &               09 \\
          934287 &               04 \\
          944797 &               66 \\
          974819 &               24 \\
         1051338 &               18 \\
         1063192 &               66 \\
         1199338 &               01 \\
         1332844 &               64 \\
         1333040 &               60 \\
         1333050 &               39 \\
         1412444 &               31 \\
         1412751 &               19 \\
         1412829 &               66 \\
         1412832 &               54 \\
         1441762 &               01 \\
         1535616 &               08 \\
         1537340 &               51 \\
         1537375 &               66 \\
         2047009 &               08 \\
         2048327 &               12 \\
         2151280 &               65 \\
         2157719 &               65 \\
         2243547 &               16 \\
         2246833 &               39 \\
         2292334 &               08 \\
         2306374 &               03 \\
         2327620 &               64 \\
         2383207 &               66 \\
         2505083 &               45 \\
         2876303 &               60 \\
         3217992 &               66 \\
         3218020 &               66 \\
         3824754 &               14 \\
         4409766 &               14 \\
         4714990 &               60 \\
         4970834 &               51 \\
         4977574 &               66 \\
         4977756 &               65 \\
         6504218 &               32 \\
         6544713 &               16 \\
         6725887 &               16 \\
         6922782 &               58 \\
         6938417 &               20 \\
         7041637 &               44 \\
         7049105 &               66 \\
         7582720 &               17 \\
         7750679 &               64 \\
         8180628 &               51 \\
         9349379 &               60 \\
         9381462 &               51 \\
         9472752 &               43 \\
         9473086 &               45 \\
         9970807 &               51 \\
        10116277 &               65 \\
        10120688 &               65 \\
        10807323 &               45 \\
        11065987 &               04 \\
        11191425 &               13 \\
        12411886 &               29 \\
        12413409 &               26 \\
        12570314 &               39 \\
        13298881 &               28 \\
        17114046 &               49 \\

Results of robustness analysis while using piecewise linear shrinkers
Total Number of Parameter settings tested: 66
The results displayed show the number of time each particular SNP was declared significant.
