Results of P-value Weighting Analysis - Clustered Results

Prior Study: C4D-CAD.C4D.Consortium.Nat.Genet.2011
Current Study: Cardiogram-CAD.Nat.Genet.2011

Number of overlapping SNPs: 514157
Number of overlapping SNPs not found in UCSC database: 747

Weighted Bonferroni Methods Tested: 
Unweighted; Spjotvoll; Bayes; sigma = 0.100000: ; Bayes; sigma = 1.000000: ; Bayes; sigma = 10.000000: ; Exponential; beta = 1.000000: ; Exponential; beta = 2.000000: ; Exponential; beta = 4.000000: ; Select top; P_thresh = 1.000000e-02: ; Select top; P_thresh = 1.000000e-04: ; Select top; P_thresh = 1.000000e-06: ; Monotone; min = 0.010000. max =10.000000; Monotone; min = 0.010000. max =Inf; Monotone; min = 0.100000. max =10.000000; Monotone; min = 0.100000. max =Inf; Monotone; min = 0.500000. max =10.000000; Monotone; min = 0.500000. max =Inf; 
Family-wise Error Rate controlled at: 5.000000e-02

Number of Significant SNPs in Distinct LD Blocks: 
Unweighted: 9
Spjotvoll: 14
Bayes; sigma = 0.100000: : 14
Bayes; sigma = 1.000000: : 12
Bayes; sigma = 10.000000: : 9
Exponential; beta = 1.000000: : 7
Exponential; beta = 2.000000: : 2
Exponential; beta = 4.000000: : 1
Select top; P_thresh = 1.000000e-02: : 22
Select top; P_thresh = 1.000000e-04: : 11
Select top; P_thresh = 1.000000e-06: : 3
Monotone; min = 0.010000. max =10.000000: 15
Monotone; min = 0.010000. max =Inf: 16
Monotone; min = 0.100000. max =10.000000: 15
Monotone; min = 0.100000. max =Inf: 15
Monotone; min = 0.500000. max =10.000000: 15
Monotone; min = 0.500000. max =Inf: 15

Parameter settings:
q = 5.000000e-02
pcer = 1.944931e-06
sigma = 1.000000e-01
sigma = 1.000000e+00
sigma = 1.000000e+01
beta= 1.000000e+00
beta= 2.000000e+00
beta= 4.000000e+00
P_thresh= 1.000000e-02
P_thresh= 1.000000e-04
P_thresh= 1.000000e-06
lower_bounds= 1.000000e-02
lower_bounds= 1.000000e-01
lower_bounds= 5.000000e-01
upper_bounds= 1.000000e+01
upper_bounds= Inf

Lead Significant SNPs in each cluster: 
Unweighted: 9 SNPs
rsID	chr	position	current_Pvalue
rs9970807	1	56965663	4.740000e-08
rs4970834	1	109814879	4.250000e-09
rs7582720	2	203753071	1.900000e-10
rs7651039	3	15648003	1.850000e-08
rs2306374	3	138119951	3.340000e-08
rs2327620	6	12907590	1.180000e-11
rs3217992	9	22003222	1.580000e-27
rs964184	11	116648916	8.020000e-10
rs11072793	15	79006441	1.960000e-08

Spjotvoll: 14 SNPs
rsID	chr	position	current_Pvalue
rs9970807	1	56965663	4.740000e-08
rs4970834	1	109814879	4.250000e-09
rs7582720	2	203753071	1.900000e-10
rs2306374	3	138119951	3.340000e-08
rs2327620	6	12907590	1.180000e-11
rs12524865	6	134196673	2.950000e-07
rs264	8	19813179	2.990000e-07
rs3217992	9	22003222	1.580000e-27
rs964184	11	116648916	8.020000e-10
rs11065987	12	112072423	5.620000e-07
rs2895811	14	100133941	2.670000e-07
rs11072793	15	79006441	1.960000e-08
rs2281727	17	2117944	8.120000e-07
rs7278204	21	35621364	2.100000e-07

Bayes; sigma = 0.100000: : 14 SNPs
rsID	chr	position	current_Pvalue
rs9970807	1	56965663	4.740000e-08
rs4970834	1	109814879	4.250000e-09
rs7582720	2	203753071	1.900000e-10
rs2306374	3	138119951	3.340000e-08
rs2327620	6	12907590	1.180000e-11
rs12524865	6	134196673	2.950000e-07
rs264	8	19813179	2.990000e-07
rs3217992	9	22003222	1.580000e-27
rs964184	11	116648916	8.020000e-10
rs11065987	12	112072423	5.620000e-07
rs2895811	14	100133941	2.670000e-07
rs11072793	15	79006441	1.960000e-08
rs2281727	17	2117944	8.120000e-07
rs7278204	21	35621364	2.100000e-07

Bayes; sigma = 1.000000: : 12 SNPs
rsID	chr	position	current_Pvalue
rs9970807	1	56965663	4.740000e-08
rs4970834	1	109814879	4.250000e-09
rs7582720	2	203753071	1.900000e-10
rs7651039	3	15648003	1.850000e-08
rs2306374	3	138119951	3.340000e-08
rs2327620	6	12907590	1.180000e-11
rs264	8	19813179	2.990000e-07
rs3217992	9	22003222	1.580000e-27
rs964184	11	116648916	8.020000e-10
rs2895811	14	100133941	2.670000e-07
rs11072793	15	79006441	1.960000e-08
rs7278204	21	35621364	2.100000e-07

