             SNP &       times sig. \\
            8321 &               36 \\
          175597 &               25 \\
          200483 &               20 \\
          200484 &               19 \\
          200490 &               23 \\
          200501 &               24 \\
          200948 &               25 \\
          200953 &               24 \\
          200989 &               25 \\
          200991 &               20 \\
          200995 &               25 \\
          201002 &               24 \\
          213230 &               17 \\
          389884 &               50 \\
          404240 &               29 \\
          429479 &               14 \\
          442694 &               19 \\
          497309 &               52 \\
          704795 &               02 \\
          813592 &               02 \\
          853676 &               02 \\
          853679 &               02 \\
          853681 &               01 \\
          853685 &               02 \\
          885912 &               25 \\
          885916 &               31 \\
          886422 &               42 \\
          886424 &               41 \\
          898031 &               02 \\
          926552 &               25 \\
          929157 &               26 \\
          971570 &               25 \\
         1049633 &               41 \\
         1059612 &               45 \\
         1064627 &               33 \\
         1117490 &               22 \\
         1150752 &               48 \\
         1150753 &               47 \\
         1233396 &               25 \\
         1233480 &               25 \\
         1233491 &               24 \\
         1233493 &               31 \\
         1233579 &               24 \\
         1233604 &               26 \\
         1235162 &               34 \\
         1260320 &               02 \\
         1260345 &               41 \\
         1264308 &               41 \\
         1264322 &               25 \\
         1264350 &               41 \\
         1264353 &               37 \\
         1264377 &               26 \\
         1270942 &               50 \\
         1419183 &               01 \\
         1480380 &               25 \\
         1535039 &               18 \\
         1573296 &               33 \\
         1634721 &               48 \\
         1679709 &               01 \\
         1778508 &               01 \\
         1936365 &               01 \\
         2021722 &               25 \\
         2106072 &               33 \\
         2187668 &               46 \\
         2230683 &               24 \\
         2232423 &               28 \\
         2272417 &               51 \\
         2293572 &               02 \\
         2517611 &               25 \\
         2517612 &               29 \\
         2517614 &               20 \\
         2517618 &               27 \\
         2523443 &               24 \\
         2523719 &               30 \\
         2523721 &               25 \\
         2523722 &               25 \\
         2523729 &               33 \\
         2523735 &               16 \\
         2523742 &               24 \\
         2596565 &               53 \\
         2734583 &               51 \\
         2746149 &               27 \\
         2746150 &               31 \\
         2799077 &               01 \\
         2844773 &               27 \\
         2844776 &               25 \\
         2857595 &               43 \\
         2894254 &               52 \\
         3094034 &               38 \\
         3094035 &               40 \\
         3094050 &               39 \\
         3094054 &               41 \\
         3094057 &               40 \\
         3094061 &               26 \\
         3094064 &               26 \\
         3094071 &               28 \\
         3094073 &               27 \\
         3094086 &               42 \\
         3094228 &               42 \\
         3094622 &               40 \\
         3094627 &               27 \\
         3094629 &               27 \\
         3094630 &               27 \\
         3094703 &               40 \\
         3095326 &               41 \\
         3095336 &               34 \\
         3095340 &               35 \\
         3099840 &               44 \\
         3099844 &               49 \\
         3101018 &               49 \\
         3115631 &               27 \\
         3115672 &               23 \\
         3116830 &               26 \\
         3117337 &               01 \\
         3117425 &               16 \\
         3117427 &               25 \\
         3117439 &               18 \\
         3117574 &               49 \\
         3117575 &               48 \\
         3117577 &               53 \\
         3117582 &               50 \\
         3118357 &               26 \\
         3118361 &               20 \\
         3118370 &               23 \\
         3129701 &               27 \\
         3129702 &               28 \\
         3129703 &               28 \\
         3129704 &               30 \\
         3129705 &               29 \\
         3129788 &               25 \\
         3129791 &               25 \\
         3129809 &               40 \\
         3129818 &               39 \\
         3129820 &               40 \\
         3129822 &               36 \\
         3129832 &               27 \\
         3129973 &               41 \\
         3129985 &               35 \\
         3130247 &               39 \\
         3130350 &               40 \\
         3130352 &               41 \\
         3130374 &               26 \\
         3130375 &               34 \\
         3130377 &               34 \\
         3130380 &               28 \\
         3130401 &               28 \\
         3130403 &               28 \\
         3130404 &               27 \\
         3130405 &               20 \\
         3130484 &               49 \\
         3130544 &               52 \\
         3130557 &               51 \\
         3130641 &               34 \\
         3130673 &               34 \\
         3130679 &               50 \\
         3130773 &               25 \\
         3130782 &               35 \\
         3130834 &               26 \\
         3130837 &               24 \\
         3130845 &               15 \\
         3130893 &               01 \\
         3131060 &               35 \\
         3131064 &               24 \\
         3131343 &               24 \\
         3131378 &               49 \\
         3131379 &               52 \\
         3131783 &               49 \\
         3131921 &               01 \\
         3131934 &               46 \\
         3132389 &               15 \\
         3132390 &               16 \\
         3132392 &               25 \\
         3132580 &               42 \\
         3132581 &               40 \\
         3132610 &               42 \\
         3132625 &               40 \\
         3132630 &               36 \\
         3132631 &               37 \\
         3132647 &               40 \\
         3132649 &               27 \\
         3132658 &               27 \\
         3132659 &               27 \\
         3134792 &               35 \\
         3134942 &               22 \\
         3135309 &               16 \\
         3749971 &               25 \\
         3800316 &               01 \\
         3857546 &               02 \\
         4324798 &               26 \\
         6456834 &               17 \\
         6901575 &               25 \\
         6904596 &               26 \\
         6908726 &               24 \\
         6912584 &               24 \\
         6921919 &               27 \\
         6922111 &               27 \\
         7004633 &               01 \\
         7005110 &               01 \\
         7746199 &               02 \\
         7749823 &               01 \\
         7750641 &               52 \\
         7762279 &               41 \\
         7766356 &               17 \\
         7767099 &               25 \\
         7775397 &               50 \\
         8179252 &               06 \\
         9257248 &               25 \\
         9257793 &               30 \\
         9257805 &               19 \\
         9257809 &               18 \\
         9261290 &               34 \\
         9262135 &               42 \\
         9262141 &               42 \\
         9262142 &               01 \\
         9262143 &               43 \\
         9266669 &               48 \\
         9267531 &               52 \\
         9268219 &               50 \\
         9268235 &               50 \\
         9268977 &               29 \\
         9272105 &               01 \\
         9272219 &               30 \\
         9276601 &               25 \\
         9276689 &               39 \\
         9295740 &               19 \\
         9393929 &               24 \\
         9468413 &               17 \\
        10456362 &               01 \\
        10484399 &               31 \\
        11191580 &               01 \\
        11681351 &               04 \\
        11965538 &               01 \\
        13194504 &               30 \\
        13194781 &               35 \\
        13195040 &               21 \\
        13197574 &               15 \\
        13198716 &               14 \\
        13199772 &               34 \\
        13205911 &               25 \\
        13211507 &               26 \\
        13213152 &               28 \\
        16897515 &               01 \\
        17312661 &               17 \\
        17693963 &               33 \\
        17720293 &               28 \\
        17749927 &               34 \\
        17750424 &               33 \\

Results of robustness analysis while using piecewise linear shrinkers
Total Number of Parameter settings tested: 66
The results displayed show the number of time each particular SNP was declared significant.
